측정ID,photo,기존라벨,사진판정,사진볕,확신도,일치,흑구상승K,태양고도,근거
20260820_서제2동_02,144,1,SUN,1,high,O,26.6,67.1,"맑음, 경성그림자"
20260820_서제2동_03,146,1,SUN,1,high,O,20.4,66.8,"맑음, 경성그림자"
20260820_서제2동_04,148,1,SUN,1,high,O,24.0,66.7,"맑음, 경성그림자"
20260820_서제2동_05,151,1,SUN,1,high,O,21.8,66.4,"맑음, 경성그림자"
20260820_서제2동_06,153,1,SHADE-B,0,high,X,5.3,66.0,건물 그림자 속 골목
20260820_서제2동_07,158,0,DIFFUSE,0,mid,O,3.1,65.7,"직사광 없음(연무/구름), 경성그림자 없음"
20260820_서제2동_08,160,0,DIFFUSE,0,mid,O,5.1,65.4,"직사광 없음, 경성그림자 없음"
20260820_서제2동_09,162,0,SUN,1,high,X,23.3,65.1,"태양 노출, 열린 교차로"
20260820_서제2동_10,163,1,SUN,1,high,O,29.0,64.7,"맑음, 경성그림자"
20260820_서제2동_11,165,1,SUN,1,high,O,14.5,64.4,"맑음, 경성그림자"
20260820_서제2동_12,166,1,SUN,1,high,O,24.9,64.0,"맑음, 경성그림자"
20260820_서제2동_13,168,0,SUN,1,low,X,18.7,63.6,"태양원반 보임·지면 밝음, 부분 그늘 가능"
20260820_서제2동_14,170,0,SHADE-B,0,high,O,11.2,63.1,건물 그림자
20260820_서제2동_15,171,0,DIFFUSE,0,mid,O,12.4,62.8,"연무, 경성그림자 없음"
20260820_서제2동_16,173,0,DIFFUSE,0,mid,O,11.5,62.4,"연무, 경성그림자 없음"
20260820_서제2동_17,174,1,DIFFUSE,0,mid,X,5.0,62.0,경성그림자 없음
20260820_서제2동_18,176,1,SUN,1,high,O,21.2,61.6,"맑음, 경성그림자"
20260823_명장제10동_01,189,1,SUN,1,high,O,14.7,65.1,"맑음, 태양 노출"
20260823_명장제11동_01,188,1,SUN,1,high,O,25.8,64.9,"맑음, 태양 노출"
20260823_명장제12동_01,187,1,SUN,1,high,O,17.7,64.6,"맑음, 태양 노출"
20260823_명장제13동_01,186,1,SUN,1,high,O,18.7,64.3,"맑음, 태양 노출"
20260823_명장제14동_01,185,1,SUN,1,high,O,42.1,64.0,"맑음, 태양 노출"
20260823_명장제15동_01,184,1,SUN,1,high,O,18.3,63.4,"맑음, 태양 노출"
20260823_명장제16동_01,182,0,SUN,1,high,X,36.2,62.9,"태양 노출, 열린 교차로"
20260823_명장제17동_01,179,0,SUN,1,high,X,25.3,62.1,"태양원반 보임, 열린 교차로"
20260823_명장제18동_01,177,1,SUN,1,high,O,6.9,61.8,"맑음, 태양 노출"
20260823_명장제2동_01,199,1,SUN,1,high,O,6.4,66.2,"맑음, 태양 노출"
20260823_명장제3동_01,198,0,SHADE-B,0,mid,O,5.4,66.1,"옹벽·수목 사이 하부도로, 확산광"
20260823_명장제4동_01,197,0,SHADE-T,0,mid,O,18.9,66.1,"수목·암벽 옆, 직사광 없음"
20260823_명장제5동_01,196,0,SHADE-T,0,high,O,8.8,66.0,"수관 아래, 벽면에 얼룩그림자"
20260823_명장제6동_01,195,0,SHADE-B,0,low,O,4.6,65.8,"건물 사이 골목, 밝으나 경성그림자 없음"
20260823_명장제7동_01,192,1,DIFFUSE,0,low,X,11.9,65.7,"연무 골목, 경성그림자 없음"
20260823_명장제8동_01,191,1,SUN,1,mid,O,22.7,65.5,구름 많으나 직사광 있음
20260823_명장제9동_01,190,1,SUN,1,high,O,14.8,65.3,"맑음, 태양 노출"
20260825_용호제1동_01,219,1,SUN,1,high,O,21.6,64.7,"맑음, 태양 노출"
20260825_용호제1동_02,218,1,SUN,1,high,O,31.5,65.0,"맑음, 태양 노출"
20260825_용호제1동_03,215,1,SUN,1,high,O,19.2,65.2,"맑음, 태양 노출"
20260825_용호제1동_04,214,1,SUN,1,high,O,24.0,65.3,"맑음, 태양 노출"
20260825_용호제1동_05,213,1,SUN,1,high,O,27.6,65.4,"맑음, 태양 노출"
20260825_용호제1동_06,212,1,SUN,1,high,O,32.2,65.5,"맑음, 태양 노출"
20260825_용호제1동_07,211,1,SUN,1,high,O,22.7,65.6,"맑음, 태양 노출"
20260825_용호제1동_08,209,1,SUN,1,high,O,27.9,65.6,"맑음, 태양 노출"
20260825_용호제1동_09,208,1,SUN,1,high,O,19.2,65.6,"맑음, 태양 노출"
20260825_용호제1동_10,207,1,SUN,1,high,O,10.1,65.6,"맑음, 태양 노출"
20260825_용호제1동_11,206,1,SUN,1,high,O,17.2,65.6,"맑음, 태양 노출"
20260825_용호제1동_12,205,1,SUN,1,high,O,20.8,65.6,"맑음, 태양 노출"
20260825_용호제1동_13,203,1,SUN,1,high,O,39.4,65.5,"맑음, 태양 노출"
20260825_용호제1동_14,201,1,SUN,1,high,O,14.4,65.4,"맑음, 태양 노출"
20260825_용호제1동_15,200,0,SUN,1,high,X,15.5,65.2,"태양원반 보임, 열린 도로"
20260826_보수동_01,238,0,DIFFUSE,0,mid,O,12.9,63.2,"구름 많음, 경성그림자 없음"
20260826_보수동_02,237,0,DIFFUSE,0,mid,O,9.3,63.4,"구름 많음, 경성그림자 없음"
20260826_보수동_03,236,0,DIFFUSE,0,mid,O,13.9,63.8,"구름 많음, 경성그림자 없음"
20260826_보수동_04,235,0,DIFFUSE,0,mid,O,6.4,64.0,"구름·가로수, 경성그림자 약함"
20260826_보수동_05,234,1,SUN,1,mid,O,18.0,64.3,"밝음, 약한 그림자"
20260826_보수동_06,233,1,SUN,1,high,O,28.4,64.5,"맑음, 태양 노출"
20260826_보수동_07,232,1,SUN,1,high,O,20.5,64.8,"맑음, 태양 노출"
20260826_보수동_08,230,1,SUN,1,high,O,13.7,65.0,"맑음, 태양 노출"
20260826_보수동_09,229,1,SUN,1,high,O,24.0,65.1,"맑음, 태양 노출"
20260826_보수동_10,228,1,SUN,1,high,O,20.1,65.2,"맑음, 태양 노출"
20260826_보수동_11,226,1,SUN,1,high,O,28.3,65.3,"맑음, 태양 노출"
20260826_보수동_12,225,1,SUN,1,high,O,15.5,65.3,"맑음, 태양 노출"
20260826_보수동_13,223,1,SUN,1,high,O,18.5,65.3,"맑음, 태양 노출"
20260826_보수동_14,222,1,SUN,1,high,O,17.7,65.2,"맑음, 태양 노출"
20260826_보수동_15,221,1,SUN,1,high,O,22.3,65.0,"맑음, 태양 노출"
20260826_보수동_16,220,1,SUN,1,high,O,28.9,64.9,"맑음, 태양 노출"
20260826_부암제1동_01,258,0,SHADE-B,0,mid,O,12.7,46.0,"좁은 골목, 태양 가려짐"
20260826_부암제1동_02,256,1,SUN,1,high,O,21.9,46.5,태양원반 보임
20260826_부암제1동_03,255,0,SHADE-S,0,high,O,10.9,47.1,고가도로 그늘
20260826_부암제1동_04,254,1,SUN,1,high,O,13.4,47.6,태양원반 보임
20260826_부암제1동_05,253,0,SHADE-B,0,mid,O,17.5,48.4,"태양이 건물 뒤, 지면 그늘"
20260826_부암제1동_06,252,1,SUN,1,high,O,15.4,48.9,태양원반 보임
20260826_부암제1동_07,251,1,SUN,1,high,O,12.5,49.5,태양원반 보임
20260826_부암제1동_09,249,1,SUN,1,high,O,27.4,52.1,태양원반 보임
20260826_부암제1동_10,246,1,SUN,1,high,O,26.4,52.9,태양원반 보임
20260826_부암제1동_11,245,1,SUN,1,high,O,21.6,53.3,태양원반 보임
20260826_부암제1동_12,244,1,SUN,1,high,O,16.7,53.8,태양원반 보임
20260826_부암제1동_13,243,1,SUN,1,high,O,25.7,54.1,태양원반 보임
20260826_부암제1동_14,242,1,SUN,1,high,O,26.1,54.6,태양원반 보임
20260826_부암제1동_15,241,1,SUN,1,high,O,15.8,55.2,태양원반 보임
20260826_부암제1동_16,239,1,SUN,1,high,O,31.5,55.7,태양원반 보임
