측정ID,시각,sun,Ta,Ts_sheet,dt_s,n_img,Ts4,Ts_min,Ts_max,files
20260820_서제2동_02,2026-08-20 12:40:00,1,34.6,49.25,-53,1,34.2,34.2,34.2,HM20260820120407
20260820_서제2동_03,2026-08-20 12:46:00,1,34.7,53.15,,0,,,,
20260820_서제2동_04,2026-08-20 12:50:00,1,34.8,50.89,-46,4,44.9,33.1,63.0,HM20260820121414 HM20260820121418 HM20260820121423 HM20260820121434
20260820_서제2동_05,2026-08-20 12:55:00,1,35.4,51.02,-44,2,39.1,32.6,45.6,HM20260820121916 HM20260820121929
20260820_서제2동_06,2026-08-20 13:00:00,0,33.0,40.42,,0,,,,
20260820_서제2동_07,2026-08-20 13:04:00,0,34.1,51.33,-22,1,34.8,34.8,34.8,HM20260820122838
20260820_서제2동_08,2026-08-20 13:08:00,0,34.8,51.51,40,3,46.0,44.0,60.5,HM20260820123340 HM20260820123351 HM20260820123357
20260820_서제2동_09,2026-08-20 13:12:00,1,35.8,58.32,-54,1,48.0,48.0,48.0,HM20260820123606
20260820_서제2동_10,2026-08-20 13:16:00,1,34.6,53.51,128,3,53.5,32.6,54.0,HM20260820124308 HM20260820124315 HM20260820124322
20260820_서제2동_11,2026-08-20 13:19:00,1,36.6,54.58,12,1,40.5,40.5,40.5,HM20260820124412
20260820_서제2동_12,2026-08-20 13:23:00,1,34.1,37.11,-17,3,51.2,49.0,52.3,HM20260820124743 HM20260820124751 HM20260820124802
20260820_서제2동_13,2026-08-20 13:26:00,1,35.2,46.86,-25,3,27.1,23.2,36.6,HM20260820125035 HM20260820125040 HM20260820125047
20260820_서제2동_14,2026-08-20 13:30:00,0,33.5,35.3,,0,,,,
20260820_서제2동_15,2026-08-20 13:33:00,0,33.9,47.95,-20,2,31.5,29.3,33.8,HM20260820125740 HM20260820125745
20260820_서제2동_16,2026-08-20 13:36:00,0,34.4,50.99,-59,3,37.4,34.5,43.1,HM20260820130001 HM20260820130015 HM20260820130020
20260820_서제2동_17,2026-08-20 13:39:00,0,35.0,52.98,1,4,39.4,36.3,45.7,HM20260820130401 HM20260820130405 HM20260820130411 HM20260820130416
20260820_서제2동_18,2026-08-20 13:42:00,1,34.9,57.95,-11,4,44.5,36.3,54.1,HM20260820130649 HM20260820130654 HM20260820130706 HM20260820130712
20260826_부암제1동_01,2026-08-26 15:06:00,0,38.7,45.81,50,4,37.2,35.3,44.7,HM20260826143150 HM20260826143153 HM20260826143157 HM20260826143200
20260826_부암제1동_02,2026-08-26 15:03:00,1,36.4,55.41,4,4,54.5,35.2,62.1,HM20260826142804 HM20260826142808 HM20260826142811 HM20260826142815
20260826_부암제1동_03,2026-08-26 15:00:00,0,38.3,53.36,33,4,42.0,29.7,47.4,HM20260826142533 HM20260826142536 HM20260826142539 HM20260826142544
20260826_부암제1동_04,2026-08-26 14:57:00,1,38.6,60.1,23,4,46.9,33.2,59.9,HM20260826142223 HM20260826142228 HM20260826142231 HM20260826142234
20260826_부암제1동_05,2026-08-26 14:53:00,1,36.5,57.25,42,4,50.7,39.9,57.3,HM20260826141842 HM20260826141846 HM20260826141850 HM20260826141855
20260826_부암제1동_06,2026-08-26 14:50:00,1,38.1,60.01,10,4,53.6,44.5,63.8,HM20260826141510 HM20260826141514 HM20260826141518 HM20260826141523
20260826_부암제1동_07,2026-08-26 14:47:00,1,38.2,62.08,-3,3,45.8,45.3,51.9,HM20260826141157 HM20260826141201 HM20260826141205
20260826_부암제1동_09,2026-08-26 14:32:00,1,36.0,58.34,-2,2,61.8,61.5,62.0,HM20260826135658 HM20260826135703
