측정ID,사진,시간차초,SVF,TVF,BVF,OTH,GVI_pix,SVF_0914,GVI_0914,BVI_0914,볕,비고
20260820_서제2동_02,144,47,0.5235,0.0393,0.4292,0.0079,0.018,0.5542,0.0221,0.5491,1,
20260820_서제2동_03,146,16,0.5856,0.0006,0.4094,0.0044,0.0,0.6198,0.0,0.5245,1,
20260820_서제2동_04,148,50,0.5137,0.0,0.4718,0.0145,0.0,0.5438,0.0,0.5941,1,
20260820_서제2동_05,151,42,0.5931,0.0,0.3921,0.0148,0.0,0.6278,0.0,0.5034,1,
20260820_서제2동_06,153,7,0.0099,0.0,0.7579,0.2321,0.0,0.0105,0.0,0.8852,1,
20260820_서제2동_07,158,64,0.5692,0.0,0.2516,0.1791,0.0,0.6025,0.0,0.2535,0,자세복원 실패 — 사용하지 말 것
20260820_서제2동_08,160,16,0.4498,0.0,0.5072,0.043,0.0,0.4761,0.0,0.6219,0,
20260820_서제2동_09,162,49,0.6953,0.0219,0.2694,0.0135,0.011,0.736,0.0135,0.3881,0,
20260820_서제2동_10,163,59,0.7145,0.0078,0.2439,0.0338,0.001,0.7563,0.0011,0.3654,1,
20260820_서제2동_11,165,30,0.7221,0.0,0.1851,0.0928,0.0,0.7643,0.0,0.2911,1,
20260820_서제2동_12,166,25,0.1776,0.0,0.6847,0.1377,0.0008,0.1879,0.001,0.7876,1,
20260820_서제2동_13,168,15,0.4456,0.0008,0.5412,0.0125,0.0011,0.4717,0.0013,0.642,0,
20260820_서제2동_14,170,27,0.098,0.0,0.7841,0.1179,0.0,0.1038,0.0,0.907,0,
20260820_서제2동_15,171,57,0.3995,0.0,0.5907,0.0098,0.0,0.4229,0.0,0.6791,0,
20260820_서제2동_16,173,49,0.537,0.0001,0.4334,0.0295,0.0,0.5684,0.0,0.5264,0,
20260820_서제2동_17,174,0,0.389,0.0,0.5563,0.0547,0.0245,0.4118,0.0295,0.6636,1,
20260820_서제2동_18,176,29,0.845,0.0152,0.1348,0.005,0.0181,0.8944,0.0223,0.2327,1,
