사진,파일,SVF,TVF,BVF,OTH,GVI_pix
142,IMG_20260820_123608_00_142.jpg,0.4907,0.002,0.5021,0.0053,0.0
144,IMG_20260820_124047_00_144.jpg,0.5235,0.0393,0.4292,0.0079,0.018
146,IMG_20260820_124544_00_146.jpg,0.5856,0.0006,0.4094,0.0044,0.0
148,IMG_20260820_124910_00_148.jpg,0.5137,0.0,0.4718,0.0145,0.0
151,IMG_20260820_125542_00_151.jpg,0.5931,0.0,0.3921,0.0148,0.0
153,IMG_20260820_125953_00_153.jpg,0.0099,0.0,0.7579,0.2321,0.0
158,IMG_20260820_130504_00_158.jpg,0.5692,0.0,0.2516,0.1791,0.0
159,IMG_20260820_130547_00_159.jpg,0.5924,0.0002,0.3286,0.0789,0.0
160,IMG_20260820_130816_00_160.jpg,0.4498,0.0,0.5072,0.043,0.0
162,IMG_20260820_131249_00_162.jpg,0.6953,0.0219,0.2694,0.0135,0.011
163,IMG_20260820_131501_00_163.jpg,0.7145,0.0078,0.2439,0.0338,0.001
165,IMG_20260820_131930_00_165.jpg,0.7221,0.0,0.1851,0.0928,0.0
166,IMG_20260820_132235_00_166.jpg,0.1776,0.0,0.6847,0.1377,0.0008
167,IMG_20260820_132534_00_167.jpg,0.5267,0.0,0.4506,0.0228,0.0003
168,IMG_20260820_132545_00_168.jpg,0.4456,0.0008,0.5412,0.0125,0.0011
170,IMG_20260820_132933_00_170.jpg,0.098,0.0,0.7841,0.1179,0.0
171,IMG_20260820_133203_00_171.jpg,0.3995,0.0,0.5907,0.0098,0.0
173,IMG_20260820_133649_00_173.jpg,0.537,0.0001,0.4334,0.0295,0.0
174,IMG_20260820_133900_00_174.jpg,0.389,0.0,0.5563,0.0547,0.0245
176,IMG_20260820_134229_00_176.jpg,0.845,0.0152,0.1348,0.005,0.0181
177,IMG_20260823_111823_00_177.jpg,0.8181,0.1104,0.0519,0.0196,0.1409
179,IMG_20260823_112210_00_179.jpg,0.7665,0.1464,0.0749,0.0123,0.129
180,IMG_20260823_112221_00_180.jpg,0.7675,0.1529,0.0666,0.0131,0.1291
182,IMG_20260823_112837_00_182.jpg,0.7523,0.0366,0.1952,0.0159,0.0429
184,IMG_20260823_113512_00_184.jpg,0.6635,0.1599,0.1678,0.0089,0.1052
185,IMG_20260823_113751_00_185.jpg,0.6835,0.0193,0.209,0.0882,0.0441
186,IMG_20260823_114253_00_186.jpg,0.5922,0.0042,0.3944,0.0092,0.0042
187,IMG_20260823_114647_00_187.jpg,0.666,0.0114,0.3034,0.0192,0.0
188,IMG_20260823_115015_00_188.jpg,0.6281,0.1233,0.1503,0.0983,0.0656
189,IMG_20260823_115307_00_189.jpg,0.7336,0.0369,0.2131,0.0164,0.0146
190,IMG_20260823_115601_00_190.jpg,0.6673,0.0072,0.3039,0.0215,0.0135
191,IMG_20260823_115940_00_191.jpg,0.5681,0.0036,0.4131,0.0152,0.0
192,IMG_20260823_120421_00_192.jpg,0.4534,0.0653,0.3569,0.1244,0.0255
195,IMG_20260823_120754_00_195.jpg,0.6033,0.0154,0.3507,0.0306,0.0071
196,IMG_20260823_121049_00_196.jpg,0.2467,0.1526,0.4793,0.1215,0.1948
197,IMG_20260823_121338_00_197.jpg,0.408,0.3106,0.2699,0.0115,0.1698
198,IMG_20260823_121546_00_198.jpg,0.3071,0.3026,0.2603,0.13,0.1192
199,IMG_20260823_122706_00_199.jpg,0.7581,0.0024,0.2051,0.0344,0.0002
200,IMG_20260825_120407_00_200.jpg,0.7104,0.0,0.2777,0.0119,0.0002
201,IMG_20260825_120835_00_201.jpg,0.4824,0.0026,0.5115,0.0035,0.0044
202,IMG_20260825_121030_00_202.jpg,0.5759,0.0,0.3375,0.0866,0.0006
203,IMG_20260825_121316_00_203.jpg,0.3611,0.0,0.6276,0.0113,0.0
205,IMG_20260825_121708_00_205.jpg,0.4639,0.0,0.4232,0.1129,0.0
206,IMG_20260825_121902_00_206.jpg,0.5387,0.0647,0.3799,0.0167,0.0489
207,IMG_20260825_122254_00_207.jpg,0.5618,0.0267,0.4016,0.0098,0.016
208,IMG_20260825_122449_00_208.jpg,0.6996,0.0838,0.2075,0.009,0.0441
209,IMG_20260825_122847_00_209.jpg,0.5642,0.0018,0.4031,0.0308,0.0039
210,IMG_20260825_123218_00_210.jpg,0.6513,0.0,0.3135,0.0353,0.0003
211,IMG_20260825_123404_00_211.jpg,0.7258,0.0067,0.2563,0.0112,0.0004
212,IMG_20260825_123848_00_212.jpg,0.7072,0.0,0.2671,0.0257,0.0003
213,IMG_20260825_123859_00_213.jpg,0.6791,0.0,0.2998,0.0211,0.0
214,IMG_20260825_124112_00_214.jpg,0.5255,0.0,0.4717,0.0028,0.0
