동,지번,단지,세대,btli_env_w_m2,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507,202508,202509,202510,202511,202512,202601,202602,202603,202604,202605
연산동,0030-0001,대우아파트,303,2.86,2735,2837,2556,2831,2772,3028,2952,3914,3632,2867,2880,2768,2792,2872,2506,2774,2830,2902,2935,3023,3148,3173,2818,2692,2757,2883,2500,2794,223803
좌동,0970-0000,해운대좌동롯데캐슬마스터1,200,3.47,107109,106270,96880,99796,95428,101128,113338,156319,164431,127164,101443,97150,108770,109865,95526,101079,96299,101650,118194,155074,164726,119007,101345,97764,107014,108884,94231,100968,1554608
명장동,0022-0001,명장경동아파트,335,3.93,89419,90663,80747,80097,70723,70840,80862,114494,108684,86608,72560,76293,87925,89845,77331,77468,70248,71292,89888,107148,113459,77219,73543,76782,85124,87798,75225,77034,503964
용호동,0176-0030,엘지메트로시티,7374,3.6,2662113,2635039,2401016,2429603,2328834,2550632,3052581,4438403,3769054,2446562,2441141,2522223,2700307,2708025,2339026,2451661,2339288,2539098,3350901,4145658,3477561,2465415,2392202,2449618,3132032,3074665,2743480,2897579,44670240
화명동,0188-0000,벽산강변타운,1044,1.69,362553,361040,322225,320053,297048,322138,386746,544172,449850,297508,317829,336970,360212,364267,305564,319256,302748,323297,433546,511495,420123,315960,329287,340480,369910,364702,308281,321026,2720880
사직동,0093-0008,사직자이,249,3.22,153151,153342,141653,149655,140386,144911,158570,226188,268925,201839,146819,142080,154470,156945,141676,149647,139532,146234,164524,238430,263340,187662,151630,144525,161299,162579,141911,150856,1292103
대연동,0054-0005,리마크빌 대연,260,2.36,274188,244482,258801,241984,265497,314531,382283,434047,374421,288496,253135,268907,247335,231720,232633,221067,243142,297567,358317,405577,355112,265298,227826,245469,261910,224937,237225,220459,6287475
다대동,0037-0000,다대코오롱맨션,520,5.03,140429,138914,123326,123477,115213,125243,147586,226562,202046,120670,121983,128611,134017,135537,112575,117690,111358,119439,158504,200485,173058,119076,117234,120495,131674,128701,109873,114458,426444
연산동,0129-0000,센텀수영강푸르지오아파트,430,4.28,172483,172193,158454,162978,152804,153814,161494,225607,261647,207481,158049,156582,170653,174033,155235,164381,153079,158065,169077,227359,250725,189926,163223,159718,173572,178618,157336,166344,12655440
좌동,1276-0000,해운대주공아파트,420,4.17,103791,103054,96717,99711,94377,95297,98938,137875,149452,123307,97105,95707,104145,105841,93471,99101,94772,96421,104093,138127,148107,110247,99780,97570,104977,106902,95783,101592,1532400
