측정ID,geo_svf,n_bld,n_canopy,n_tree,source
20260820_서제2동_02,0.679,,0,193,DB
20260820_서제2동_03,0.66,,0,193,DB
20260820_서제2동_04,0.641,,0,193,DB
20260820_서제2동_05,0.645,,0,193,DB
20260820_서제2동_06,0.201,,0,193,DB
20260820_서제2동_07,0.734,,0,193,DB
20260820_서제2동_08,0.254,,0,193,DB
20260820_서제2동_09,0.245,,0,193,DB
20260820_서제2동_10,0.785,,0,193,DB
20260820_서제2동_11,0.835,,0,163,DB
20260820_서제2동_12,0.364,,2,163,DB
20260820_서제2동_13,0.456,,4,163,DB
20260820_서제2동_14,0.332,,4,163,DB
20260820_서제2동_15,0.409,,5,163,DB
20260820_서제2동_16,0.352,,21,163,DB
20260820_서제2동_17,0.485,,4,163,DB
20260820_서제2동_18,0.875,,0,163,DB
20260826_부암제1동_01,0.421,,0,0,DB
20260826_부암제1동_02,0.933,,1,0,DB
20260826_부암제1동_03,0.793,,2,0,DB
20260826_부암제1동_04,0.624,,0,0,DB
20260826_부암제1동_05,0.778,,0,0,DB
20260826_부암제1동_06,0.599,,0,0,DB
20260826_부암제1동_07,0.582,,0,0,DB
20260826_부암제1동_09,0.667,,0,0,DB
20260826_부암제1동_10,0.746,,0,0,DB
20260826_부암제1동_11,0.656,,0,0,DB
20260826_부암제1동_12,0.66,,0,0,DB
20260826_부암제1동_13,0.728,,0,0,DB
20260826_부암제1동_14,0.716,,0,0,DB
20260826_부암제1동_15,0.806,,0,0,DB
20260826_부암제1동_16,0.962,,0,0,DB
20260826_보수동_01,0.52,,1,961,DB
20260826_보수동_02,0.454,,0,896,DB
20260826_보수동_03,0.713,,4,896,DB
20260826_보수동_04,0.514,,2,896,DB
20260826_보수동_05,0.494,,0,896,DB
20260826_보수동_06,0.597,,0,896,DB
20260826_보수동_07,0.562,,17,896,DB
20260826_보수동_08,0.681,,34,961,DB
20260826_보수동_09,0.501,,43,961,DB
20260826_보수동_10,0.28,,17,961,DB
20260826_보수동_11,0.577,,0,961,DB
20260826_보수동_12,0.704,,4,961,DB
20260826_보수동_13,0.52,,1,961,DB
20260826_보수동_14,0.655,,10,961,DB
20260826_보수동_15,0.788,,7,961,DB
20260826_보수동_16,0.803,,0,961,DB
20260825_용호제1동_01,0.662,,0,247,DB
20260825_용호제1동_02,0.749,,0,247,DB
20260825_용호제1동_03,0.657,,0,176,DB
20260825_용호제1동_04,0.522,,0,176,DB
20260825_용호제1동_05,0.756,,0,176,DB
20260825_용호제1동_06,0.798,,0,176,DB
20260825_용호제1동_07,0.761,,0,176,DB
20260825_용호제1동_08,0.702,,1,247,DB
20260825_용호제1동_09,0.875,,1,247,DB
20260825_용호제1동_10,0.636,,2,247,DB
20260825_용호제1동_11,0.48,,0,247,DB
20260825_용호제1동_12,0.31,,0,247,DB
20260825_용호제1동_13,0.542,,0,247,DB
20260825_용호제1동_14,0.559,,0,247,DB
20260825_용호제1동_15,0.772,,0,247,DB
20260823_명장제2동_01,0.803,,0,778,DB
20260823_명장제3동_01,0.359,,38,778,DB
20260823_명장제4동_01,0.598,,21,778,DB
20260823_명장제5동_01,0.529,,14,778,DB
20260823_명장제6동_01,0.63,,1,778,DB
20260823_명장제7동_01,0.378,,0,778,DB
20260823_명장제8동_01,0.679,,0,778,DB
20260823_명장제9동_01,0.876,,0,778,DB
20260823_명장제10동_01,0.498,,0,778,DB
20260823_명장제11동_01,0.758,,0,778,DB
20260823_명장제12동_01,0.665,,14,778,DB
20260823_명장제13동_01,0.673,,2,778,DB
20260823_명장제14동_01,0.54,,5,778,DB
20260823_명장제15동_01,0.466,,28,778,DB
20260823_명장제16동_01,0.813,,6,163,DB
20260823_명장제17동_01,0.658,,29,163,DB
20260823_명장제18동_01,0.856,,16,778,DB
