측정ID,권역,볕,실측PET,물리_PET,물리+AI_LONO_PET,물리+AI_배포계수_PET,확신도
20260820_서제2동_02,서제2동,1,46.45,47.69,46.14,45.96,1.0
20260820_서제2동_03,서제2동,1,45.01,50.13,46.5,46.33,1.0
20260820_서제2동_04,서제2동,1,47.3,51.07,46.71,46.55,1.0
20260820_서제2동_05,서제2동,1,45.72,49.71,47.35,47.24,1.0
20260820_서제2동_06,서제2동,0,35.91,38.76,39.48,39.17,0.878
20260820_서제2동_07,서제2동,0,38.44,46.72,40.79,40.46,1.0
20260820_서제2동_08,서제2동,0,38.75,43.9,40.66,40.35,1.0
20260820_서제2동_09,서제2동,1,47.94,52.18,47.72,47.62,1.0
20260820_서제2동_10,서제2동,1,47.5,47.75,46.25,46.06,1.0
20260820_서제2동_11,서제2동,1,45.32,54.53,49.07,49.03,1.0
20260820_서제2동_12,서제2동,1,44.41,46.35,45.28,45.05,1.0
20260820_서제2동_13,서제2동,1,43.86,49.36,46.87,46.73,1.0
20260820_서제2동_14,서제2동,0,39.26,40.57,39.27,38.69,0.842
20260820_서제2동_15,서제2동,0,40.39,41.31,39.58,38.92,0.807
20260820_서제2동_16,서제2동,0,39.23,39.39,40.27,40.22,0.677
20260820_서제2동_17,서제2동,0,40.31,47.6,41.65,41.1,0.957
20260820_서제2동_18,서제2동,1,46.8,52.52,47.09,46.93,1.0
20260826_부암제1동_01,부암제1동,0,48.95,50.54,44.47,45.05,0.852
20260826_부암제1동_02,부암제1동,1,47.37,50.59,48.45,48.81,1.0
20260826_부암제1동_03,부암제1동,0,47.71,50.28,44.1,44.81,0.869
20260826_부암제1동_04,부암제1동,1,49.24,58.84,51.67,51.08,0.838
20260826_부암제1동_05,부암제1동,1,46.66,52.8,48.21,48.5,1.0
20260826_부암제1동_06,부암제1동,1,49.82,58.77,50.71,50.67,0.934
20260826_부암제1동_07,부암제1동,1,48.43,58.83,51.1,50.9,0.897
20260826_부암제1동_09,부암제1동,1,48.39,48.77,47.97,48.38,1.0
20260826_부암제1동_10,부암제1동,1,49.96,52.06,48.06,48.35,1.0
20260826_부암제1동_11,부암제1동,1,50.97,57.16,50.8,51.43,0.998
20260826_부암제1동_12,부암제1동,1,49.78,57.9,49.8,49.97,0.949
20260826_부암제1동_13,부암제1동,1,51.06,53.58,49.44,50.02,1.0
20260826_부암제1동_14,부암제1동,1,51.08,53.37,49.77,50.38,1.0
20260826_부암제1동_15,부암제1동,1,49.33,58.78,50.34,50.59,0.966
20260826_부암제1동_16,부암제1동,1,52.29,51.54,49.25,49.7,1.0
20260826_보수동_01,보수동,0,39.08,39.07,39.43,39.78,0.908
20260826_보수동_02,보수동,0,38.21,41.21,37.63,37.77,0.937
20260826_보수동_03,보수동,0,40.99,40.93,41.07,41.39,1.0
20260826_보수동_04,보수동,0,40.59,47.17,40.2,40.41,1.0
20260826_보수동_05,보수동,1,43.86,51.04,46.37,46.55,1.0
20260826_보수동_06,보수동,1,49.06,51.41,45.42,45.6,1.0
20260826_보수동_07,보수동,1,44.67,50.2,45.66,45.85,1.0
20260826_보수동_08,보수동,1,47.13,57.05,48.58,48.56,1.0
20260826_보수동_09,보수동,1,47.67,50.03,45.98,46.08,1.0
20260826_보수동_10,보수동,1,46.05,51.91,46.22,46.34,1.0
20260826_보수동_11,보수동,1,47.6,48.03,46.9,47.07,1.0
20260826_보수동_12,보수동,1,47.94,57.11,48.75,48.78,1.0
20260826_보수동_13,보수동,1,45.21,51.81,46.31,46.4,1.0
20260826_보수동_14,보수동,1,46.61,54.44,48.44,48.52,1.0
20260826_보수동_15,보수동,1,47.02,52.28,46.03,46.21,1.0
20260826_보수동_16,보수동,1,48.69,49.71,44.25,44.46,1.0
20260825_용호제1동_01,용호제1동,1,48.04,53.25,48.31,48.54,1.0
20260825_용호제1동_02,용호제1동,1,51.21,50.92,47.37,47.75,1.0
20260825_용호제1동_03,용호제1동,1,44.97,51.15,46.36,46.54,1.0
20260825_용호제1동_04,용호제1동,1,46.71,50.08,45.88,46.13,1.0
20260825_용호제1동_05,용호제1동,1,48.17,49.93,45.67,45.89,1.0
20260825_용호제1동_06,용호제1동,1,50.57,49.48,46.98,47.49,1.0
20260825_용호제1동_07,용호제1동,1,50.89,56.57,50.93,51.15,1.0
20260825_용호제1동_08,용호제1동,1,52.29,54.42,48.69,48.81,1.0
20260825_용호제1동_09,용호제1동,1,49.42,56.88,50.11,50.16,1.0
20260825_용호제1동_10,용호제1동,1,44.86,57.41,49.12,48.95,1.0
20260825_용호제1동_11,용호제1동,1,45.56,53.26,47.16,47.19,1.0
20260825_용호제1동_12,용호제1동,1,46.54,52.51,46.47,46.48,1.0
20260825_용호제1동_13,용호제1동,1,53.83,48.76,46.38,46.89,1.0
20260825_용호제1동_14,용호제1동,1,47.32,57.07,48.73,48.54,1.0
20260825_용호제1동_15,용호제1동,1,46.02,55.53,47.04,46.73,1.0
20260823_명장제2동_01,명장동,1,40.03,54.99,47.13,46.2,1.0
20260823_명장제3동_01,명장동,0,37.58,40.76,37.43,37.23,1.0
20260823_명장제4동_01,명장동,0,40.42,37.0,39.56,40.35,0.701
20260823_명장제5동_01,명장동,0,39.94,42.23,40.4,40.56,1.0
20260823_명장제6동_01,명장동,0,40.0,47.12,41.09,40.71,1.0
20260823_명장제7동_01,명장동,0,40.51,40.66,40.77,41.24,1.0
20260823_명장제8동_01,명장동,1,47.09,51.44,45.91,45.66,1.0
20260823_명장제9동_01,명장동,1,45.74,54.22,48.75,48.78,1.0
20260823_명장제10동_01,명장동,1,43.8,52.31,46.54,46.36,1.0
20260823_명장제11동_01,명장동,1,51.44,53.71,48.76,48.97,1.0
20260823_명장제12동_01,명장동,1,49.76,57.13,49.02,48.92,1.0
20260823_명장제13동_01,명장동,1,47.86,53.59,48.51,48.8,1.0
20260823_명장제14동_01,명장동,1,51.32,44.52,47.81,49.1,0.777
20260823_명장제15동_01,명장동,1,48.06,54.77,47.0,46.53,1.0
20260823_명장제16동_01,명장동,1,53.08,48.92,47.0,47.36,1.0
20260823_명장제17동_01,명장동,1,48.82,49.93,46.56,46.73,1.0
20260823_명장제18동_01,명장동,1,42.0,54.45,46.86,46.4,1.0
