lat,lon,n_records,svf,n_buildings,street_width_m,hw_ratio,snapped_m,폭등급
35.1824,129.1033,142,0.475,37,44.3,0.85,0.0,큰길(12m+)
35.1831,129.1035,10,0.232,18,38.3,1.83,0.0,큰길(12m+)
35.1826,129.1033,82,0.301,34,20.7,3.11,3.0,큰길(12m+)
35.1824,129.1032,186,0.448,39,45.1,1.36,0.0,큰길(12m+)
35.1825,129.1032,45,0.377,36,38.5,1.74,0.0,큰길(12m+)
35.1831,129.1033,16,0.233,17,53.0,1.32,0.0,큰길(12m+)
35.1829,129.1033,52,0.244,21,54.1,1.29,0.0,큰길(12m+)
35.1829,129.1031,13,0.214,24,52.4,1.31,0.0,큰길(12m+)
35.1829,129.1036,3,0.237,20,44.4,1.58,0.0,큰길(12m+)
35.183,129.1035,20,0.255,20,54.0,1.3,0.0,큰길(12m+)
35.182,129.1031,23,0.796,59,23.2,0.42,0.0,큰길(12m+)
35.1827,129.1033,112,0.168,29,5.8,12.1,0.0,보행골목(<6m)
35.1831,129.1032,8,0.242,20,43.0,1.6,0.0,큰길(12m+)
35.1826,129.1038,8,0.333,25,15.6,4.13,0.0,큰길(12m+)
35.1823,129.1041,3,0.849,51,35.4,0.91,0.0,큰길(12m+)
35.1822,129.1047,2,0.914,72,32.6,0.17,0.0,큰길(12m+)
35.1823,129.1052,4,0.875,78,20.9,0.33,0.0,큰길(12m+)
35.1826,129.1058,1,0.92,65,40.8,0.27,0.0,큰길(12m+)
35.1828,129.1063,4,0.935,55,50.0,0.22,0.0,큰길(12m+)
35.183,129.1067,4,0.838,67,11.5,0.49,0.0,혼합골목(6-12m)
35.1834,129.1071,2,0.826,57,26.9,0.52,0.0,큰길(12m+)
35.1838,129.1071,3,0.941,56,27.9,0.2,0.0,큰길(12m+)
35.1844,129.1072,2,0.962,48,45.3,0.09,0.0,큰길(12m+)
35.1848,129.1072,1,0.97,63,38.3,0.11,0.0,큰길(12m+)
35.1852,129.1071,3,0.933,62,28.6,0.15,0.0,큰길(12m+)
35.1857,129.1071,2,0.758,80,27.7,0.86,0.0,큰길(12m+)
35.1861,129.1068,1,0.625,92,18.4,0.91,0.0,큰길(12m+)
35.1864,129.1064,1,0.671,106,9.8,0.57,0.0,혼합골목(6-12m)
35.1868,129.1064,1,0.919,107,36.9,0.15,0.0,큰길(12m+)
35.1872,129.1063,1,0.775,86,10.4,0.54,0.0,혼합골목(6-12m)
35.1877,129.1064,3,0.754,77,9.0,0.63,0.0,혼합골목(6-12m)
35.1878,129.1058,3,0.933,89,31.9,0.18,0.0,큰길(12m+)
35.1878,129.1053,1,0.944,78,34.9,0.12,0.0,큰길(12m+)
35.1878,129.1047,1,0.962,83,34.7,0.12,0.0,큰길(12m+)
35.1878,129.1041,2,0.969,85,37.4,0.15,0.0,큰길(12m+)
35.1878,129.1035,3,0.952,100,31.2,0.18,0.0,큰길(12m+)
35.1878,129.1029,3,0.944,99,31.6,0.18,0.0,큰길(12m+)
35.1875,129.1024,3,0.909,83,17.7,0.32,0.0,큰길(12m+)
35.1871,129.1021,3,0.882,81,21.4,0.26,0.0,큰길(12m+)
35.1867,129.1019,3,0.607,85,22.2,0.25,2.4,큰길(12m+)
35.1864,129.1024,1,0.682,68,58.6,0.12,0.0,큰길(12m+)
35.1861,129.1029,1,0.858,63,57.1,0.25,0.0,큰길(12m+)
35.1859,129.1033,3,0.561,62,11.6,1.21,0.0,혼합골목(6-12m)
35.1854,129.1038,3,0.758,41,75.8,0.5,0.0,큰길(12m+)
35.1852,129.104,4,0.733,29,,,,개방
