측정ID,LCZ,동,지점명,시각,위도,경도,볕그늘,폭등급,가로폭_m,노면온도_열화상,포장재질,비고
20260826_부암제1동_01,LCZ 1,부암제1동,부암제1동,2026-08-26 15:06:00,35.1629,129.0467,그늘,보행골목(<6m),2.4,45.81,,
20260826_부암제1동_02,LCZ 1,부암제1동,부암제1동,2026-08-26 15:03:00,35.1628,129.0462,볕,개방,,55.41,,
20260826_부암제1동_03,LCZ 1,부암제1동,부암제1동,2026-08-26 15:00:00,35.1629,129.0453,그늘,큰길(12m+),48.2,53.36,,
20260826_부암제1동_04,LCZ 1,부암제1동,부암제1동,2026-08-26 14:57:00,35.1633,129.0448,볕,혼합골목(6-12m),9.2,60.1,,
20260826_부암제1동_05,LCZ 1,부암제1동,부암제1동,2026-08-26 14:53:00,35.1638,129.0441,그늘,혼합골목(6-12m),9.8,57.25,,
20260826_부암제1동_06,LCZ 1,부암제1동,부암제1동,2026-08-26 14:50:00,35.1631,129.0444,볕,혼합골목(6-12m),8.1,60.01,,
20260826_부암제1동_07,LCZ 1,부암제1동,부암제1동,2026-08-26 14:47:00,35.1631,129.045,볕,보행골목(<6m),4.3,62.08,,
20260826_부암제1동_09,LCZ 1,부암제1동,부암제1동,2026-08-26 14:32:00,35.1647,129.046,볕,큰길(12m+),66.1,58.34,,
20260826_부암제1동_10,LCZ 1,부암제1동,부암제1동,2026-08-26 14:27:00,35.1641,129.0459,볕,큰길(12m+),14.5,61.39,,
20260826_부암제1동_11,LCZ 1,부암제1동,부암제1동,2026-08-26 14:25:00,35.1637,129.0455,볕,혼합골목(6-12m),11.7,56.66,,
20260826_부암제1동_12,LCZ 1,부암제1동,부암제1동,2026-08-26 14:22:00,35.1632,129.0452,볕,혼합골목(6-12m),6.5,55.51,,
20260826_부암제1동_13,LCZ 1,부암제1동,부암제1동,2026-08-26 14:20:00,35.1632,129.0458,볕,혼합골목(6-12m),10.8,61.01,,
20260826_부암제1동_14,LCZ 1,부암제1동,부암제1동,2026-08-26 14:17:00,35.1632,129.0464,볕,혼합골목(6-12m),7.1,60.2,,
20260826_부암제1동_15,LCZ 1,부암제1동,부암제1동,2026-08-26 14:13:00,35.1632,129.0472,볕,큰길(12m+),13.1,66.44,,
20260826_부암제1동_16,LCZ 1,부암제1동,부암제1동,2026-08-26 14:10:00,35.1626,129.0475,볕,개방,,64.07,,
20260826_보수동_01,LCZ 2,보수동,보수동,2026-08-26 13:12:00,35.1054,129.0289,그늘,큰길(12m+),14.3,47.31,,
20260826_보수동_02,LCZ 2,보수동,보수동,2026-08-26 13:09:00,35.106,129.03,그늘,혼합골목(6-12m),6.7,45.47,,
20260826_보수동_03,LCZ 2,보수동,보수동,2026-08-26 13:04:00,35.1068,129.0311,그늘,큰길(12m+),20.0,53.26,,
20260826_보수동_04,LCZ 2,보수동,보수동,2026-08-26 13:01:00,35.1065,129.0312,그늘,큰길(12m+),16.0,53.14,,
20260826_보수동_05,LCZ 2,보수동,보수동,2026-08-26 12:57:00,35.106,129.0309,볕,혼합골목(6-12m),10.1,50.16,,
20260826_보수동_06,LCZ 2,보수동,보수동,2026-08-26 12:54:00,35.1055,129.0305,볕,혼합골목(6-12m),11.8,51.14,,
20260826_보수동_07,LCZ 2,보수동,보수동,2026-08-26 12:49:00,35.105,129.0307,볕,큰길(12m+),29.4,55.0,,
20260826_보수동_08,LCZ 2,보수동,보수동,2026-08-26 12:44:00,35.1042,129.0293,볕,큰길(12m+),45.5,50.68,,
20260826_보수동_09,LCZ 2,보수동,보수동,2026-08-26 12:40:00,35.1047,129.029,볕,큰길(12m+),37.0,56.02,,
20260826_보수동_10,LCZ 2,보수동,보수동,2026-08-26 12:35:00,35.1046,129.0281,볕,큰길(12m+),17.1,53.12,,
20260826_보수동_11,LCZ 2,보수동,보수동,2026-08-26 12:28:00,35.1042,129.0273,볕,혼합골목(6-12m),8.7,53.17,,
20260826_보수동_12,LCZ 2,보수동,보수동,2026-08-26 12:24:00,35.1051,129.0274,볕,혼합골목(6-12m),11.3,55.56,,
20260826_보수동_13,LCZ 2,보수동,보수동,2026-08-26 12:19:00,35.1054,129.0289,볕,큰길(12m+),14.3,54.94,,
20260826_보수동_14,LCZ 2,보수동,보수동,2026-08-26 12:16:00,35.1058,129.0287,볕,큰길(12m+),18.4,54.55,,
20260826_보수동_15,LCZ 2,보수동,보수동,2026-08-26 12:09:00,35.1065,129.0294,볕,혼합골목(6-12m),8.2,54.58,,
20260826_보수동_16,LCZ 2,보수동,보수동,2026-08-26 12:05:00,35.1074,129.0299,볕,큰길(12m+),24.2,61.1,,
20260820_서제2동_02,LCZ 3,서제2동,서제2동,2026-08-20 12:40:00,35.21328,129.10115,볕,큰길(12m+),13.0,49.25,,
