측정ID,촬영일,시각,사진,GPS오차m,위도,경도,유형,태양방위,태양고도,Ta,흑구,RH,v,Tmrt,PET,SVF,GVI,BVI,지표_출처,SVF_표,GVI_표,BVI_표,흑구상승,MRT상승
point26_260325,2026-03-24,13:37:57,105,5,35.231565,129.083619,green,208.8,52.7,18.3,24,35.8,1.2,37.968,18.72,0.672,0.163,0.111,큐브맵+SegFormer(2026-09-14 재산출),0.921451568603515,0.110865354537963,0.311352014541626,5.7,19.7
point27_260325,2026-03-24,13:43:38,106,8,35.231365,129.083521,building_c,210.9,52.1,16.1,22.2,39.3,2,42.252,16.47,0.615,0.046,0.208,큐브맵+SegFormer(2026-09-14 재산출),0.767962455749511,0.0196108818054199,0.299978017807006,6.1,26.2
point25_260325,2026-03-24,13:50:30,107,34,35.232873,129.083063,building_c,213.4,51.4,18.1,24.9,36.6,0.5,34.865,20.39,0.589,0.026,0.37,큐브맵+SegFormer(2026-09-14 재산출),0.666214942932128,0.0426909923553466,0.285035371780395,6.8,16.8
point23_260325,2026-03-24,13:56:14,108,23,35.233726,129.083761,building_r,215.4,50.7,15.6,19.5,41.3,1.1,29.194,14.18,0.73,0.197,0.07,큐브맵+SegFormer(2026-09-14 재산출),0.777276039123535,0.0481207370758056,0.281989336013793,3.9,13.6
point24_260325,2026-03-24,13:58:42,109,49,35.233864,129.083837,green,216.3,50.4,17.1,23.3,38.6,0.6,33.582,18.63,0.706,0.022,0.268,큐브맵+SegFormer(2026-09-14 재산출),0.348246574401855,0.166013717651367,0.234768867492675,6.2,16.5
point21_260325,2026-03-24,14:06:30,111,12,35.233582,129.082434,building_c,218.9,49.4,17,27,35.3,0.6,42.574,22,0.74,0.158,0.097,큐브맵+SegFormer(2026-09-14 재산출),0.757243156433105,0.102879524230957,0.333335638046264,10,25.6
point20_260325,2026-03-24,14:09:23,112,100,35.233211,129.08082,green,219.9,49.1,17,24.2,30,0.7,37.017,18.96,0.635,0.324,0.035,큐브맵+SegFormer(2026-09-14 재산출),0.464088439941406,0.325977325439453,0.0454921722412109,7.2,20.0
point30_260325,2026-03-27,13:15:16,114,12,35.23198,129.08143,green,200.7,55.6,23.4,28.7,23.9,1,39.968,23.49,0.75,0.077,0.166,큐브맵+SegFormer(2026-09-14 재산출),0.848936080932617,0.089465856552124,0.267616987228393,5.3,16.6
point31_260325,2026-03-27,13:18:35,115,23,35.231616,129.080382,building_r,202.1,55.4,23.2,26.9,23.6,3.1,42.36,21.16,0.696,0.087,0.212,큐브맵+SegFormer(2026-09-14 재산출),0.896934509277343,0.0283384323120117,0.316500902175903,3.7,19.2
point19_260327,2026-03-27,13:21:55,116,6,35.232078,129.080433,building_c,203.5,55.1,21.9,24.7,25,1.8,33.614,18.97,0.529,0.197,0.266,큐브맵+SegFormer(2026-09-14 재산출),0.532996177673339,0.128504514694213,0.334029674530029,2.8,11.7
point18_260327,2026-03-27,13:26:47,117,23,35.231046,129.079488,green,205.5,54.7,21,23.1,26.9,0.4,25.941,18.98,0.164,0.759,0.05,큐브맵+SegFormer(2026-09-14 재산출),0.10261058807373,0.389977693557739,0.0687661170959472,2.1,4.9
point17_260327,2026-03-27,13:29:24,118,6,35.231567,129.078525,building_r,206.6,54.5,21.3,23,26.5,1,26.966,17.74,0.298,0.667,0.031,큐브맵+SegFormer(2026-09-14 재산출),0.109915733337402,0.346417427062988,0.0350735187530517,1.7,5.7
point12_260327,2026-03-27,13:36:34,119,4,35.234393,129.078885,building_c,209.4,53.8,23,26.1,25.6,0.3,29.514,22.38,0.548,0.047,0.294,큐브맵+SegFormer(2026-09-14 재산출),0.622424125671386,0.0538578033447265,0.31188941001892,3.1,6.5
point16_260327,2026-03-27,13:40:45,120,10,35.233629,129.080098,building_c,211.0,53.4,21.9,24.9,24.3,0.8,30.847,19.79,0.582,0.332,0.081,큐브맵+SegFormer(2026-09-14 재산출),0.564127922058105,0.218206167221069,0.198150634765625,3.0,8.9
point15_260327,2026-03-27,13:45:06,121,3,35.234311,129.080633,building_r,212.6,52.9,23.1,27.1,23.6,0.6,33.61,22.33,0.716,0.242,0.039,큐브맵+SegFormer(2026-09-14 재산출),0.684050559997558,0.0576734542846679,0.232789278030395,4.0,10.5
point14_260327,2026-03-27,13:51:45,122,18,35.236497,129.081942,green,215.1,52.1,22.6,25.9,25.1,0,25.9,24.21,0.547,0.252,0.198,큐브맵+SegFormer(2026-09-14 재산출),0.588563919067382,0.236137390136718,0.180139780044555,3.3,3.3
point06_260327,2026-03-27,13:56:40,123,5,35.235948,129.079915,building_c,216.8,51.6,22.1,27.1,24.1,0.9,37.29,21.86,0.761,0.015,0.216,큐브맵+SegFormer(2026-09-14 재산출),0.892872810363769,0.0701806545257568,0.176373720169067,5.0,15.2
point13_260327,2026-03-27,14:01:23,124,5,35.235325,129.079672,building_r,218.4,51.0,23.3,28,21.8,0,28,25.59,0.673,0.146,0.162,큐브맵+SegFormer(2026-09-14 재산출),0.761844635009765,0.0500249862670898,0.308531045913696,4.7,4.7
point07_260327,2026-03-27,14:06:23,125,13,35.235699,129.078456,building_r,220.1,50.3,23.5,28.4,21.6,0,28.4,25.91,0.798,0.032,0.159,큐브맵+SegFormer(2026-09-14 재산출),0.899674415588378,0.0953094959259033,0.315589904785156,4.9,4.9
point05_260327,2026-03-27,14:11:01,126,14,35.23728,129.079165,building_r,221.6,49.7,22.2,25.6,23.2,0.9,32.741,20.34,0.39,0.48,0.129,큐브맵+SegFormer(2026-09-14 재산출),0.183650970458984,0.205798625946044,0.162762641906738,3.4,10.5
point04_260327,2026-03-27,14:18:17,127,30,35.237031,129.077661,green,223.9,48.7,22.3,25.2,22.9,0.5,29.558,20.59,0.554,0.112,0.312,큐브맵+SegFormer(2026-09-14 재산출),0.662297248840332,0.174575328826904,0.259726762771606,2.9,7.3
point09_260327,2026-03-27,14:31:27,128,12,35.234428,129.076639,building_r,227.9,46.8,23.7,29.1,20.8,0.5,36.78,24.31,0.548,0.325,0.117,큐브맵+SegFormer(2026-09-14 재산출),0.5570068359375,0.199036836624145,0.205195903778076,5.4,13.1
point08_260327,2026-03-27,14:34:59,129,13,35.235664,129.076865,building_c,228.9,46.2,24.1,31.9,21.9,1.1,48.486,26.59,0.468,0.324,0.198,큐브맵+SegFormer(2026-09-14 재산출),0.430604934692382,0.0354993343353271,0.408962965011596,7.8,24.4
