측정ID,촬영일,시각,유형,Ta,흑구,SVF,dt_s,n_img,Ts,Ts_min,Ts_max,files
point26_260325,2026-03-24,13:37:57,green,18.3,24,0.672,92,1,19.7,19.7,19.7,HM20260324130029
point27_260325,2026-03-24,13:43:38,building_c,16.1,22.2,0.615,72,5,29.9,28.7,30.1,HM20260324130550 HM20260324130551 HM20260324130555 HM20260324130557 HM20260324130558
point25_260325,2026-03-24,13:50:30,building_c,18.1,24.9,0.589,8,5,5.6,4.8,28.7,HM20260324131138 HM20260324131148 HM20260324131150 HM20260324131151 HM20260324131153
point23_260325,2026-03-24,13:56:14,building_r,15.6,19.5,0.73,-7,9,28.7,25.0,32.8,HM20260324131707 HM20260324131714 HM20260324131716 HM20260324131721 HM20260324131722 HM20260324131724 HM20260324131726 HM20260324131731 HM20260324131741
point24_260325,2026-03-24,13:58:42,green,17.1,23.3,0.706,2,5,5.0,-1.6,24.8,HM20260324131944 HM20260324131949 HM20260324131953 HM20260324132002 HM20260324132007
point21_260325,2026-03-24,14:06:30,building_c,17,27,0.74,0,5,31.4,14.4,53.7,HM20260324132730 HM20260324132734 HM20260324132739 HM20260324132744 HM20260324132756
point20_260325,2026-03-24,14:09:23,green,17,24.2,0.635,12,5,17.7,11.7,24.6,HM20260324133035 HM20260324133039 HM20260324133043 HM20260324133047 HM20260324133051
point30_260325,2026-03-27,13:15:16,green,23.4,28.7,0.75,26,5,33.1,17.0,45.4,HM20260327123742 HM20260327123753 HM20260327123759 HM20260327123806 HM20260327123813
point31_260325,2026-03-27,13:18:35,building_r,23.2,26.9,0.696,5,3,39.9,38.2,41.9,HM20260327124040 HM20260327124045 HM20260327124051
point19_260327,2026-03-27,13:21:55,building_c,21.9,24.7,0.529,8,4,28.6,10.5,36.6,HM20260327124403 HM20260327124408 HM20260327124413 HM20260327124419
point18_260327,2026-03-27,13:26:47,green,21,23.1,0.164,20,4,21.9,14.6,23.9,HM20260327124907 HM20260327124911 HM20260327124915 HM20260327124920
point17_260327,2026-03-27,13:29:24,building_r,21.3,23,0.298,21,4,16.8,12.4,20.9,HM20260327125145 HM20260327125150 HM20260327125154 HM20260327125159
point12_260327,2026-03-27,13:36:34,building_c,23,26.1,0.548,3,4,27.9,21.2,36.4,HM20260327125837 HM20260327125842 HM20260327125847 HM20260327125853
point16_260327,2026-03-27,13:40:45,building_c,21.9,24.9,0.582,10,2,23.7,21.1,26.4,HM20260327130255 HM20260327130259
point15_260327,2026-03-27,13:45:06,building_r,23.1,27.1,0.716,3,4,29.1,15.6,34.6,HM20260327130709 HM20260327130715 HM20260327130720 HM20260327130726
point14_260327,2026-03-27,13:51:45,green,22.6,25.9,0.547,3,4,22.2,14.7,27.2,HM20260327131348 HM20260327131356 HM20260327131401 HM20260327131408
point06_260327,2026-03-27,13:56:40,building_c,22.1,27.1,0.761,24,4,27.4,26.5,32.4,HM20260327131904 HM20260327131911 HM20260327131916 HM20260327131921
point13_260327,2026-03-27,14:01:23,building_r,23.3,28,0.673,7,4,31.2,22.4,36.1,HM20260327132330 HM20260327132338 HM20260327132342 HM20260327132350
point07_260327,2026-03-27,14:06:23,building_r,23.5,28.4,0.798,2,5,32.4,28.0,41.6,HM20260327132825 HM20260327132832 HM20260327132837 HM20260327132846 HM20260327132851
point05_260327,2026-03-27,14:11:01,building_r,22.2,25.6,0.39,4,4,21.4,19.0,32.0,HM20260327133305 HM20260327133310 HM20260327133314 HM20260327133320
point04_260327,2026-03-27,14:18:17,green,22.3,25.2,0.554,6,4,21.3,17.2,24.6,HM20260327134023 HM20260327134029 HM20260327134035 HM20260327134040
point09_260327,2026-03-27,14:31:27,building_r,23.7,29.1,0.548,11,4,29.9,25.9,32.1,HM20260327135338 HM20260327135343 HM20260327135348 HM20260327135352
point08_260327,2026-03-27,14:34:59,building_c,24.1,31.9,0.468,5,4,33.2,17.1,42.2,HM20260327135704 HM20260327135711 HM20260327135715 HM20260327135720
point03_260327,2026-03-27,14:39:19,green,22.6,25.9,0.602,3,4,19.9,16.5,26.7,HM20260327140122 HM20260327140127 HM20260327140132 HM20260327140137
point02_260327,2026-03-27,14:43:22,green,22.6,27.2,0.749,3,4,31.3,17.9,34.3,HM20260327140525 HM20260327140530 HM20260327140534 HM20260327140543
point11_260327,2026-03-27,15:54:15,building_c,22.5,25.2,0.523,,0,,,,
point10_260327,2026-03-27,15:55:19,building_r,22,24.5,0.396,,0,,,,
point01_260327,2026-03-27,15:57:18,building_c,22.4,29.1,0.776,,0,,,,
