측정ID,권역,지점명,위도,경도,시각,볕
20260820_서제2동_02,서제2동,서제2동,35.21328,129.10115,2026-08-20 03:40:00,1
20260820_서제2동_03,서제2동,서제2동,35.21368,129.10199,2026-08-20 03:46:00,1
20260820_서제2동_04,서제2동,서제2동,35.21405,129.10217,2026-08-20 03:50:00,1
20260820_서제2동_05,서제2동,서제2동,35.21453,129.10304,2026-08-20 03:55:00,1
20260820_서제2동_06,서제2동,서제2동,35.21478,129.10243,2026-08-20 04:00:00,1
20260820_서제2동_07,서제2동,서제2동,35.2151,129.10244,2026-08-20 04:04:00,0
20260820_서제2동_08,서제2동,서제2동,35.2155,129.10159,2026-08-20 04:08:00,0
20260820_서제2동_09,서제2동,서제2동,35.21568,129.10013,2026-08-20 04:12:00,0
20260820_서제2동_10,서제2동,서제2동,35.21589,129.1002,2026-08-20 04:16:00,1
20260820_서제2동_11,서제2동,서제2동,35.21638,129.09897,2026-08-20 04:19:00,1
20260820_서제2동_12,서제2동,서제2동,35.21606,129.09883,2026-08-20 04:23:00,1
20260820_서제2동_13,서제2동,서제2동,35.2159,129.09886,2026-08-20 04:26:00,0
20260820_서제2동_14,서제2동,서제2동,35.21562,129.0986,2026-08-20 04:30:00,0
20260820_서제2동_15,서제2동,서제2동,35.21545,129.09849,2026-08-20 04:33:00,0
20260820_서제2동_16,서제2동,서제2동,35.21559,129.09735,2026-08-20 04:36:00,0
20260820_서제2동_17,서제2동,서제2동,35.21582,129.09658,2026-08-20 04:39:00,1
20260820_서제2동_18,서제2동,서제2동,35.21608,129.0957,2026-08-20 04:42:00,1
20260826_부암제1동_01,부암제1동,부암제1동,35.1629,129.0467,2026-08-26 06:06:00,0
20260826_부암제1동_02,부암제1동,부암제1동,35.1628,129.0462,2026-08-26 06:03:00,1
20260826_부암제1동_03,부암제1동,부암제1동,35.1629,129.0453,2026-08-26 06:00:00,0
20260826_부암제1동_04,부암제1동,부암제1동,35.1633,129.0448,2026-08-26 05:57:00,1
20260826_부암제1동_05,부암제1동,부암제1동,35.1638,129.0441,2026-08-26 05:53:00,0
