측정ID,권역,볕,SVF,TVF,BVF,ref_Tmrt,ref_PET
20260820_서제2동_02,서제2동,1,0.5235,0.0393,0.4292,57.93,46.45
20260820_서제2동_03,서제2동,1,0.5856,0.0006,0.4094,58.26,46.62
20260820_서제2동_04,서제2동,1,0.5137,0.0000,0.4718,58.41,46.71
20260820_서제2동_05,서제2동,1,0.5931,0.0000,0.3921,58.25,46.62
20260820_서제2동_06,서제2동,0,0.0099,0.0000,0.7579,48.96,41.80
20260820_서제2동_07,서제2동,0,0.5692,0.0000,0.2516,49.19,41.91
20260820_서제2동_08,서제2동,0,0.4498,0.0000,0.5072,49.24,41.94
20260820_서제2동_09,서제2동,1,0.6953,0.0219,0.2694,57.76,46.36
20260820_서제2동_10,서제2동,1,0.7145,0.0078,0.2439,57.86,46.41
20260820_서제2동_11,서제2동,1,0.7221,0.0000,0.1851,57.92,46.45
20260820_서제2동_12,서제2동,1,0.1776,0.0000,0.6847,58.84,46.94
20260820_서제2동_13,서제2동,1,0.4456,0.0008,0.5412,58.52,46.77
20260820_서제2동_14,서제2동,0,0.0980,0.0000,0.7841,49.07,41.85
20260820_서제2동_15,서제2동,0,0.3995,0.0000,0.5907,49.24,41.94
20260820_서제2동_16,서제2동,0,0.5370,0.0001,0.4334,49.20,41.92
20260820_서제2동_17,서제2동,0,0.3890,0.0000,0.5563,49.24,41.94
20260820_서제2동_18,서제2동,1,0.8450,0.0152,0.1348,57.40,46.16
20260823_명장제10동_01,명장동,1,0.7336,0.0369,0.2131,57.49,46.21
20260823_명장제11동_01,명장동,1,0.6281,0.1233,0.1503,56.78,45.83
20260823_명장제12동_01,명장동,1,0.6660,0.0114,0.3034,57.94,46.46
20260823_명장제13동_01,명장동,1,0.5922,0.0042,0.3944,58.20,46.59
20260823_명장제14동_01,명장동,1,0.6835,0.0193,0.2090,57.81,46.39
20260823_명장제15동_01,명장동,1,0.6635,0.1599,0.1678,56.31,45.58
20260823_명장제16동_01,명장동,1,0.7523,0.0366,0.1952,57.45,46.19
20260823_명장제17동_01,명장동,1,0.7665,0.1464,0.0749,56.26,45.55
20260823_명장제18동_01,명장동,1,0.8181,0.1104,0.0519,56.51,45.69
20260823_명장제2동_01,명장동,1,0.7581,0.0024,0.2051,57.79,46.37
20260823_명장제3동_01,명장동,0,0.3071,0.3026,0.2603,46.25,40.46
20260823_명장제4동_01,명장동,0,0.4080,0.3106,0.2699,46.26,40.47
20260823_명장제5동_01,명장동,0,0.2467,0.1526,0.4793,47.67,41.16
20260823_명장제6동_01,명장동,0,0.6033,0.0154,0.3507,49.02,41.83
20260823_명장제7동_01,명장동,0,0.4534,0.0653,0.3569,48.61,41.62
20260823_명장제8동_01,명장동,1,0.5681,0.0036,0.4131,58.26,46.63
20260823_명장제9동_01,명장동,1,0.6673,0.0072,0.3039,57.99,46.48
20260825_용호제1동_01,용호제1동,1,0.5568,0.0099,0.4147,58.22,46.60
20260825_용호제1동_02,용호제1동,1,0.7453,0.0001,0.2379,57.86,46.41
20260825_용호제1동_03,용호제1동,1,0.6485,0.0000,0.1900,58.12,46.55
20260825_용호제1동_04,용호제1동,1,0.5255,0.0000,0.4717,58.39,46.70
20260825_용호제1동_05,용호제1동,1,0.6791,0.0000,0.2998,58.04,46.51
20260825_용호제1동_06,용호제1동,1,0.7072,0.0000,0.2671,57.97,46.47
20260825_용호제1동_07,용호제1동,1,0.7258,0.0067,0.2563,57.85,46.40
20260825_용호제1동_08,용호제1동,1,0.5642,0.0018,0.4031,58.29,46.65
20260825_용호제1동_09,용호제1동,1,0.6996,0.0838,0.2075,57.08,45.99
20260825_용호제1동_10,용호제1동,1,0.5618,0.0267,0.4016,58.01,46.49
20260825_용호제1동_11,용호제1동,1,0.5387,0.0647,0.3799,57.61,46.28
