측정ID,시각,권역,LCZ,name,위도,경도,표고_m,Ta,RH,v,Tmrt,PET,Ts,태양고도,sun,SVF,TVF,BVF,사진,width_m,hw_ratio,H_m,H_default,geo_SVF,geo_GVI,geo_BVI
20260820_서제2동_02,2026-08-20 12:40:00,서제2동,3,Seo 2,35.21328,129.10115,50.0,34.6,44.8,1.0,61.23,46.45,49.25,67.1,1,0.5235,0.0393,0.4292,144,13.0,0.65,8.45,0,0.7842,0.0076,0.4328
20260820_서제2동_03,2026-08-20 12:46:00,서제2동,3,Seo 2,35.21368,129.10199,43.0,34.7,47.2,0.7,55.07,45.01,53.15,66.8,1,0.5856,0.0006,0.4094,146,9.8,0.87,8.53,0,0.7351,0.0254,0.4792
20260820_서제2동_04,2026-08-20 12:50:00,서제2동,3,Seo 2,35.21405,129.10217,43.0,34.8,46.3,0.6,58.81,47.3,50.89,66.7,1,0.5137,0.0,0.4718,148,13.1,1.0,13.1,0,0.6937,0.0045,0.511
20260820_서제2동_05,2026-08-20 12:55:00,서제2동,3,Seo 2,35.21453,129.10304,29.0,35.4,45.0,0.9,57.15,45.72,51.02,66.4,1,0.5931,0.0,0.3921,151,11.1,0.99,10.99,0,0.7172,0.0029,0.4535
20260820_서제2동_06,2026-08-20 13:00:00,서제2동,3,Seo 2,35.21478,129.10243,37.0,33.0,53.8,1.1,38.32,35.91,40.42,66.0,0,0.0099,0.0,0.7579,153,2.7,3.63,9.8,0,0.5937,0.0327,0.5243
20260820_서제2동_07,2026-08-20 13:04:00,서제2동,3,Seo 2,35.2151,129.10244,30.0,34.1,47.5,0.0,37.21,38.44,51.33,65.7,0,,,,158,19.2,0.37,7.1,0,0.8236,0.0198,0.4587
20260820_서제2동_08,2026-08-20 13:08:00,서제2동,3,Seo 2,35.2155,129.10159,35.0,34.8,45.8,0.4,39.9,38.75,51.51,65.4,0,0.4498,0.0,0.5072,160,3.2,3.45,11.04,0,0.6107,0.0,0.5356
20260820_서제2동_09,2026-08-20 13:12:00,서제2동,3,Seo 2,35.21568,129.10013,42.0,35.8,42.7,0.6,59.11,47.94,58.32,65.1,1,0.6953,0.0219,0.2694,162,2.3,3.04,6.99,0,0.5401,0.0017,0.5225
20260820_서제2동_10,2026-08-20 13:16:00,서제2동,3,Seo 2,35.21589,129.1002,37.0,34.6,44.2,1.0,63.58,47.5,53.51,64.7,1,0.7145,0.0078,0.2439,163,28.9,0.4,11.56,0,0.8463,0.0073,0.3375
20260820_서제2동_11,2026-08-20 13:19:00,서제2동,3,Seo 2,35.21638,129.09897,49.0,36.6,41.1,0.4,51.15,45.32,54.58,64.4,1,0.7221,0.0,0.1851,165,29.2,0.22,6.42,0,0.8752,0.0245,0.4092
20260820_서제2동_12,2026-08-20 13:23:00,서제2동,3,Seo 2,35.21606,129.09883,49.0,34.1,43.4,1.1,59.01,44.41,37.11,64.0,1,0.1776,0.0,0.6847,166,2.5,2.2,5.5,0,0.5748,0.0161,0.5302
20260820_서제2동_13,2026-08-20 13:26:00,서제2동,3,Seo 2,35.2159,129.09886,49.0,35.2,43.7,0.9,53.91,43.86,46.86,63.6,1,0.4456,0.0008,0.5412,168,7.2,1.28,9.22,0,0.5393,0.0131,0.5303
20260820_서제2동_14,2026-08-20 13:30:00,서제2동,3,Seo 2,35.21562,129.0986,64.0,33.5,49.2,0.7,44.72,39.26,35.3,63.1,0,0.098,0.0,0.7841,170,4.8,1.43,6.86,0,0.4167,0.0132,0.5438
20260820_서제2동_15,2026-08-20 13:33:00,서제2동,3,Seo 2,35.21545,129.09849,64.0,33.9,46.9,0.6,46.27,40.39,47.95,62.8,0,0.3995,0.0,0.5907,171,7.3,1.38,10.07,0,0.3547,0.014,0.5444
20260820_서제2동_16,2026-08-20 13:36:00,서제2동,3,Seo 2,35.21559,129.09735,79.0,34.4,45.6,1.2,45.93,39.23,50.99,62.4,0,0.537,0.0001,0.4334,173,4.5,2.09,9.4,0,0.2898,0.0,0.5196
20260820_서제2동_17,2026-08-20 13:39:00,서제2동,3,Seo 2,35.21582,129.09658,88.0,35.0,44.6,0.0,39.98,40.31,52.98,62.0,0,0.389,0.0,0.5563,174,7.2,0.96,6.91,0,0.4379,0.0145,0.5352
20260820_서제2동_18,2026-08-20 13:42:00,서제2동,3,Seo 2,35.21608,129.0957,78.0,34.9,44.0,0.4,56.08,46.8,57.95,61.6,1,0.845,0.0152,0.1348,176,16.4,0.42,6.89,0,0.9344,0.0245,0.3326
20260826_부암제1동_01,2026-08-26 15:06:00,부암제1동,1,Buam 1,35.1629,129.0467,33.0,38.7,40.6,0.0,51.37,48.95,45.81,46.0,0,0.3499,0.0,0.6108,258,2.5,1.59,3.98,0,0.7833,0.0198,0.4769
20260826_부암제1동_02,2026-08-26 15:03:00,부암제1동,1,Buam 1,35.1628,129.0462,32.0,36.4,47.8,1.0,58.27,47.37,55.41,46.5,1,0.6623,0.0871,0.2461,256,,,,,0.7687,0.0414,0.1869
