측정ID,width_m,hw_ratio,H_m,H_default,n_bld30,n_floors_known30,h_med30,h_max30,floors_med30,source
20260820_서제2동_02,13.0,0.65,8.45,0,24,24,6.9,17.4,2.0,DB
20260820_서제2동_03,9.8,0.87,8.53,0,19,19,6.9,13.0,2,DB
20260820_서제2동_04,13.1,1.0,13.1,0,24,24,7.9,13.2,2.5,DB
20260820_서제2동_05,11.1,0.99,10.99,0,19,19,9.8,21.5,3,DB
20260820_서제2동_06,2.7,3.63,9.8,0,50,50,9.1,13.1,3.0,DB
20260820_서제2동_07,19.2,0.37,7.1,0,29,29,9.0,13.1,3,DB
20260820_서제2동_08,3.2,3.45,11.04,0,41,41,10.0,13.0,3,DB
20260820_서제2동_09,2.3,3.04,6.99,0,56,56,8.9,13.0,3.0,DB
20260820_서제2동_10,28.9,0.4,11.56,0,33,33,9.2,13.0,3,DB
20260820_서제2동_11,29.2,0.22,6.42,0,27,27,8.8,13.4,3,DB
20260820_서제2동_12,2.5,2.2,5.5,0,44,44,8.4,13.0,2.0,DB
20260820_서제2동_13,7.2,1.28,9.22,0,49,49,8.6,13.0,3,DB
20260820_서제2동_14,4.8,1.43,6.86,0,48,48,7.0,13.0,2.0,DB
20260820_서제2동_15,7.3,1.38,10.07,0,48,48,6.9,13.4,2.0,DB
20260820_서제2동_16,4.5,2.09,9.4,0,47,47,8.3,11.9,3,DB
20260820_서제2동_17,7.2,0.96,6.91,0,44,44,9.1,15.2,3.0,DB
20260820_서제2동_18,16.4,0.42,6.89,0,25,25,7.3,11.9,2,DB
20260826_부암제1동_01,2.5,1.59,3.98,0,24,20,3.9,8.8,1.0,DB
20260826_부암제1동_02,,,,,5,4,6.9,7.8,1.5,DB
20260826_부암제1동_03,48.2,0.11,5.3,1,14,6,4.2,13.8,1.0,DB
20260826_부암제1동_04,9.2,0.75,6.9,1,42,15,3.9,6.9,1,DB
20260826_부암제1동_05,9.8,0.86,8.43,0,35,22,3.9,13.0,1.0,DB
20260826_부암제1동_06,8.1,1.0,8.1,0,32,19,6.9,13.5,2,DB
20260826_부암제1동_07,4.3,1.28,5.5,1,30,10,3.9,6.9,1.0,DB
20260826_부암제1동_09,66.1,0.61,40.32,0,5,5,13.0,15.8,4,DB
20260826_부암제1동_10,14.5,0.58,8.41,1,17,14,6.9,13.0,2.0,DB
20260826_부암제1동_11,11.6,1.12,12.99,0,22,18,6.9,16.0,2.0,DB
20260826_부암제1동_12,6.4,0.65,4.16,0,34,16,3.9,13.8,1.0,DB
20260826_부암제1동_13,10.7,0.65,6.96,0,13,12,6.9,13.8,2.0,DB
20260826_부암제1동_14,7.1,1.0,7.1,0,14,13,6.9,7.8,2,DB
20260826_부암제1동_15,13.1,0.53,6.94,1,26,20,6.9,13.0,2.0,DB
20260826_부암제1동_16,,,,,10,8,8.4,10.4,2.5,DB
20260826_보수동_01,14.3,0.76,10.87,0,25,24,12.0,16.0,4.0,DB
20260826_보수동_02,6.7,1.49,9.98,0,39,33,12.8,16.0,4,DB
20260826_보수동_03,20.0,0.65,13.0,0,17,15,13.2,22.0,4,DB
20260826_보수동_04,16.0,0.81,12.96,0,16,16,12.7,22.0,3.0,DB
20260826_보수동_05,10.1,1.09,11.01,1,23,18,10.1,16.4,3.0,DB
20260826_보수동_06,11.9,0.71,8.45,1,27,22,13.2,50.6,4.0,DB
20260826_보수동_07,29.4,0.49,14.41,0,15,14,13.0,50.6,4.0,DB
20260826_보수동_08,45.6,0.51,23.26,1,4,2,22.8,39.5,5.5,DB
20260826_보수동_09,37.1,0.31,11.5,0,6,5,16.0,34.1,5,DB
20260826_보수동_10,17.1,1.63,27.87,0,13,8,13.8,39.5,4.5,DB
20260826_보수동_11,8.7,0.8,6.96,1,36,27,10.0,16.0,3,DB
20260826_보수동_12,11.4,0.87,9.92,1,31,17,6.9,16.0,2,DB
20260826_보수동_13,14.3,0.76,10.87,0,25,24,12.0,16.0,4.0,DB
20260826_보수동_14,18.5,0.51,9.44,0,16,16,9.7,17.0,3.0,DB
20260826_보수동_15,8.2,0.74,6.07,0,23,22,6.9,13.4,2.0,DB
20260826_보수동_16,24.3,0.45,10.94,1,22,15,6.9,14.7,2,DB
20260825_용호제1동_01,11.0,0.77,8.47,0,25,22,6.1,16.3,1.5,DB
20260825_용호제1동_02,18.2,0.59,10.74,0,16,15,6.9,14.1,2,DB
20260825_용호제1동_03,11.4,0.76,8.66,0,11,11,6.9,11.9,2,DB
20260825_용호제1동_04,6.5,1.34,8.71,0,28,27,8.8,25.4,3,DB
20260825_용호제1동_05,14.7,0.58,8.53,0,18,17,8.6,25.4,3,DB
20260825_용호제1동_06,12.5,0.55,6.88,0,22,20,6.9,12.2,2.0,DB
20260825_용호제1동_07,29.2,0.29,8.47,0,13,11,6.9,13.1,2,DB
20260825_용호제1동_08,8.2,0.66,5.41,0,22,20,6.9,13.1,2.0,DB
20260825_용호제1동_09,15.2,0.24,3.65,0,24,22,3.9,13.1,1.0,DB
20260825_용호제1동_10,7.5,1.34,10.05,0,23,21,3.9,13.2,1,DB
20260825_용호제1동_11,8.2,1.33,10.91,0,13,11,10.0,33.8,3,DB
20260825_용호제1동_12,6.9,3.81,26.29,0,17,17,7.2,33.8,2,DB
20260825_용호제1동_13,6.5,1.53,9.95,0,14,13,6.9,13.0,2,DB
20260825_용호제1동_14,17.7,0.5,8.85,0,14,12,10.8,33.8,3.0,DB
20260825_용호제1동_15,12.5,0.41,5.12,0,23,19,6.9,10.0,2,DB
20260823_명장제2동_01,33.2,0.12,3.98,0,10,10,6.9,17.1,2.0,DB
20260823_명장제3동_01,,,,,1,1,3.9,3.9,1,DB
20260823_명장제4동_01,21.0,1.72,36.12,0,5,5,6.9,65.2,2,DB
20260823_명장제5동_01,18.5,0.7,12.95,0,17,17,6.9,15.8,2,DB
20260823_명장제6동_01,10.6,0.96,10.18,0,17,17,6.9,12.8,2,DB
20260823_명장제7동_01,16.9,0.59,9.97,0,12,12,11.0,18.7,3.5,DB
20260823_명장제8동_01,15.6,0.64,9.98,0,12,12,5.4,16.0,1.5,DB
20260823_명장제9동_01,33.1,0.41,13.57,0,7,7,11.7,14.0,3,DB
20260823_명장제10동_01,7.8,1.57,12.25,0,10,10,5.4,16.1,1.5,DB
20260823_명장제11동_01,23.6,0.3,7.08,0,15,15,4.0,13.2,1,DB
20260823_명장제12동_01,14.9,0.78,11.62,0,10,10,6.9,19.5,2.0,DB
20260823_명장제13동_01,13.7,0.59,8.08,0,15,15,10.3,17.9,3,DB
20260823_명장제14동_01,,,,,2,2,82.4,82.4,27.0,DB
20260823_명장제15동_01,,,,,3,3,12.4,13.1,4,DB
20260823_명장제16동_01,41.6,0.38,15.81,0,3,3,13.1,18.7,3,DB
20260823_명장제17동_01,,,,,0,0,,,,DB
20260823_명장제18동_01,,,,,0,0,,,,DB
