file,min,max,grd_med,grd2_med,cen
HM20260324130029,12.8,25.8,19.67,19.13,19.13
HM20260324130047,7.9,25.7,20.41,20.95,23.42
HM20260324130048,7.9,29.5,23.19,23.85,26.18
HM20260324130050,7.9,29.3,23.15,23.92,22.72
HM20260324130051,7.9,29.1,23.23,23.77,21.92
HM20260324130055,8.1,24.1,19.51,19.83,19.34
HM20260324130057,8.5,24.5,19.58,18.76,19.58
HM20260324130100,8.9,24.4,18.76,18.28,18.36
HM20260324130103,13.3,28.0,20.91,20.08,18.28
HM20260324130105,13.3,27.4,20.31,20.02,19.81
HM20260324130109,10.2,30.7,18.4,18.4,19.66
HM20260324130111,10.7,29.3,17.95,17.76,17.47
HM20260324130550,16.4,31.9,30.15,29.83,27.77
HM20260324130551,16.0,31.7,29.85,29.61,29.28
HM20260324130555,9.8,36.7,28.7,21.39,13.94
HM20260324130557,10.1,36.8,29.68,22.42,13.8
HM20260324130558,12.1,36.5,29.99,23.74,12.98
HM20260324131138,24.3,33.6,28.74,29.07,29.31
HM20260324131148,-14.3,30.4,5.64,8.62,-3.76
HM20260324131150,-14.1,30.4,4.84,8.72,9.63
HM20260324131151,-14.1,30.4,5.3,8.72,15.11
HM20260324131153,-14.8,30.3,5.78,9.02,-10.41
HM20260324131246,21.1,30.9,27.13,27.73,29.69
HM20260324131249,21.0,30.8,27.18,27.63,29.39
HM20260324131707,21.3,32.7,30.95,29.72,29.72
HM20260324131714,21.9,32.9,30.02,30.02,28.78
HM20260324131716,21.6,32.9,29.94,29.94,29.54
HM20260324131721,-9.4,40.3,25.26,25.26,14.81
HM20260324131722,-10.1,40.2,24.98,24.98,13.89
HM20260324131724,-9.3,40.4,25.11,25.11,14.15
HM20260324131726,-9.6,40.2,25.13,24.37,14.15
HM20260324131731,11.8,36.3,32.78,30.14,27.51
HM20260324131741,9.9,31.8,28.66,23.94,18.66
HM20260324131944,0.6,42.0,4.42,5.27,6.97
HM20260324131949,-8.2,40.9,24.79,24.79,12.95
HM20260324131953,-22.7,33.8,-1.55,-0.97,-7.05
HM20260324132002,8.5,22.1,17.5,13.31,13.73
HM20260324132007,-16.5,39.4,5.0,5.86,7.58
HM20260324132342,14.4,24.8,22.03,21.65,23.79
HM20260324132347,19.5,32.2,24.78,25.43,27.51
HM20260324132351,-6.7,41.8,17.67,-0.23,-1.23
HM20260324132356,16.3,26.4,23.34,23.29,23.65
HM20260324132401,-6.3,27.9,1.07,0.36,1.07
HM20260324132730,22.1,37.2,34.88,33.25,33.25
HM20260324132734,0.7,36.5,31.36,31.36,14.1
HM20260324132739,-17.6,34.9,14.44,14.71,8.52
HM20260324132744,6.0,60.4,53.7,52.59,42.82
HM20260324132756,-7.9,34.4,22.25,23.34,19.43
HM20260324133035,21.4,27.3,24.61,24.33,23.88
HM20260324133039,-15.7,28.7,23.24,17.09,-3.4
HM20260324133043,-20.3,30.6,16.77,19.11,10.76
HM20260324133047,3.0,36.0,17.72,18.4,31.26
HM20260324133051,-8.7,36.4,11.65,11.42,23.45
HM20260327123742,-5.6,39.9,33.13,33.13,0.47
HM20260327123753,-4.0,40.1,17.03,16.35,3.46
HM20260327123759,-5.5,54.7,45.44,46.36,23.21
HM20260327123806,-5.8,39.6,27.49,27.49,13.76
HM20260327123813,34.8,40.7,36.28,36.46,37.37
HM20260327124040,-1.1,48.5,41.89,41.12,30.44
HM20260327124045,14.8,41.3,38.17,37.36,34.23
HM20260327124051,10.4,43.3,39.93,39.59,17.49
HM20260327124108,-6.3,44.5,36.95,36.95,17.93
HM20260327124110,-7.2,44.3,36.91,36.64,39.81
HM20260327124114,32.1,38.0,35.67,35.22,34.97
HM20260327124116,32.3,37.9,35.69,35.26,35.69
HM20260327124403,10.0,40.3,31.13,32.06,37.5
HM20260327124408,16.2,30.9,26.0,23.59,22.31
HM20260327124413,-3.6,43.9,36.59,33.18,27.82
HM20260327124419,-6.8,37.7,10.54,12.6,31.31
HM20260327124907,17.8,31.4,23.94,23.45,22.89
HM20260327124911,3.1,24.7,14.62,13.73,22.26
HM20260327124915,10.3,26.9,21.54,22.13,22.13
HM20260327124920,16.5,32.6,22.2,21.29,20.96
HM20260327125145,-7.9,33.8,15.62,14.34,12.63
HM20260327125150,1.2,27.3,17.93,17.26,15.66
HM20260327125154,6.7,27.4,20.92,20.71,16.89
HM20260327125159,-4.9,33.9,12.41,12.41,14.8
HM20260327125837,-3.8,36.8,31.39,30.97,30.76
HM20260327125842,4.6,41.8,21.2,21.39,19.67
HM20260327125847,15.8,33.4,24.46,22.93,18.96
HM20260327125853,16.3,40.1,36.44,31.31,17.64
HM20260327130255,10.5,31.7,26.37,26.26,18.44
HM20260327130259,-3.2,41.0,21.05,21.28,9.04
HM20260327130325,11.6,32.4,29.41,26.96,17.36
HM20260327130329,2.6,29.3,20.4,19.58,20.81
HM20260327130709,1.3,37.2,34.62,32.23,17.87
HM20260327130715,-6.0,35.4,31.15,29.46,20.33
HM20260327130720,-8.3,39.7,15.58,17.3,16.81
HM20260327130726,-15.2,34.2,27.11,27.11,29.39
