측정ID,cloud,cloud_src
20260820_서제2동_02,0.6,실측(운량)
20260820_서제2동_03,0.6,실측(운량)
20260820_서제2동_04,0.6,실측(운량)
20260820_서제2동_05,0.6,실측(운량)
20260820_서제2동_06,0.6,실측(운량)
20260820_서제2동_07,0.6,실측(운량)
20260820_서제2동_08,0.6,실측(운량)
20260820_서제2동_09,0.6,실측(운량)
20260820_서제2동_10,0.6,실측(운량)
20260820_서제2동_11,0.9,실측(운량)
20260820_서제2동_12,0.9,실측(운량)
20260820_서제2동_13,0.9,실측(운량)
20260820_서제2동_14,0.9,실측(운량)
20260820_서제2동_15,0.9,실측(운량)
20260820_서제2동_16,0.9,실측(운량)
20260820_서제2동_17,0.9,실측(운량)
20260820_서제2동_18,0.9,실측(운량)
20260826_부암제1동_01,0.0,실측(일사)
20260826_부암제1동_02,0.6974,실측(일사)
20260826_부암제1동_03,0.6974,실측(일사)
20260826_부암제1동_04,0.6974,실측(일사)
20260826_부암제1동_05,0.6974,실측(일사)
20260826_부암제1동_06,0.6974,실측(일사)
20260826_부암제1동_07,0.6974,실측(일사)
20260826_부암제1동_09,0.6974,실측(일사)
20260826_부암제1동_10,0.6974,실측(일사)
20260826_부암제1동_11,0.6974,실측(일사)
20260826_부암제1동_12,0.6974,실측(일사)
20260826_부암제1동_13,0.6974,실측(일사)
20260826_부암제1동_14,0.4057,실측(일사)
20260826_부암제1동_15,0.4057,실측(일사)
20260826_부암제1동_16,0.4057,실측(일사)
20260826_보수동_01,0.0,실측(일사)
20260826_보수동_02,0.0,실측(일사)
20260826_보수동_03,0.0,실측(일사)
20260826_보수동_04,0.0,실측(일사)
20260826_보수동_05,0.0,실측(일사)
20260826_보수동_06,0.0,실측(일사)
20260826_보수동_07,0.0,실측(일사)
20260826_보수동_08,0.0,실측(일사)
20260826_보수동_09,0.0,실측(일사)
20260826_보수동_10,0.0,실측(일사)
20260826_보수동_11,0.0,실측(일사)
20260826_보수동_12,0.0,실측(일사)
20260826_보수동_13,0.0,실측(일사)
20260826_보수동_14,0.0,실측(일사)
20260826_보수동_15,0.0,실측(일사)
20260826_보수동_16,0.0,실측(일사)
20260825_용호제1동_01,0.0,실측(일사)
20260825_용호제1동_02,0.0,실측(일사)
20260825_용호제1동_03,0.0,실측(일사)
20260825_용호제1동_04,0.0,실측(일사)
20260825_용호제1동_05,0.0,실측(일사)
20260825_용호제1동_06,0.0,실측(일사)
20260825_용호제1동_07,0.0,실측(일사)
20260825_용호제1동_08,0.0,실측(일사)
20260825_용호제1동_09,0.0,실측(일사)
20260825_용호제1동_10,0.0,실측(일사)
20260825_용호제1동_11,0.0,실측(일사)
20260825_용호제1동_12,0.0,실측(일사)
20260825_용호제1동_13,0.0,실측(일사)
20260825_용호제1동_14,0.0,실측(일사)
20260825_용호제1동_15,0.0,실측(일사)
20260823_명장제2동_01,0.0,실측(일사)
20260823_명장제3동_01,0.0,실측(일사)
20260823_명장제4동_01,0.0,실측(일사)
20260823_명장제5동_01,0.0,실측(일사)
20260823_명장제6동_01,0.0,실측(일사)
20260823_명장제7동_01,0.0,실측(일사)
20260823_명장제8동_01,0.0,실측(일사)
20260823_명장제9동_01,0.0,실측(일사)
20260823_명장제10동_01,0.0,실측(일사)
20260823_명장제11동_01,0.0,실측(일사)
20260823_명장제12동_01,0.0,실측(일사)
20260823_명장제13동_01,0.0,실측(일사)
20260823_명장제14동_01,0.0,실측(일사)
20260823_명장제15동_01,0.0,실측(일사)
20260823_명장제16동_01,0.0,실측(일사)
20260823_명장제17동_01,0.0,실측(일사)
20260823_명장제18동_01,0.0,실측(일사)
